username,median_views,median_comments,average_views,average_comments,last_video_date,verified,top_hashtags
fabulous.mira.skincare,897,1.0,14.0K,2.0,2023-03-28,False,"skincare, grwm, elemisskinsider, loveelemis, naturaldeodorant, sweaty, sweatproof, deodorantviral, skincaretips, skincareblogger, botoxfreesince93, lorealistaruk, skintok, spf, heatlesscurls"
ft.angela,1.4K,2.0,1.5K,2.0,2021-04-27,False,"dailyvlog, yvr, studentlife, aritziahaul, aritzia, mcmasteruniversity, colorcustomizer, studyvlog, koreavlog, mcmasteruni, foreveryone, studywithme, yyz, dailyvlogs, fyp"
gemavm10,437,13.0,608,12.0,2021-08-13,False,"babyannouncement, babytok, latinamomsoftiktok, latinamoms, latinamom, babiesoftiktok, babybump, mamaoutfits, latinamomtok, fitcheck, fitchecks, mamabear, secondbaby, babyfever, babylove"
ggiuliarusso,,,,,,False,"perte, fyp, foryou"
glam._diaries,689,52.0,1.1K,51.0,2023-11-26,False,"kbeauty, koreanskincare, glowyskin, hydratedskin, moisturizedlips, winteressentials, fyp, mcobeauty, viralskincare, hudabeauty, lipoil, skincare, pickyreview, gopicky, lips"
glo.ssary,935,1.0,101.4K,4.0,2021-02-07,False,"lipswatch, flowerknows, asmr, lipoil, giftedbyclinique, gifted_by_clinique, asmrroutine, routine, morningroutine, grwm, kbeauty, cozyhome, seapuri, scalpcare, scalphealth"
glow.like.korea,,,,,2023-12-28,False,"skincareroutine, skincare, kbeauty, skincaretips, healthyskin, skin1004, eyecare, bakuciolbeauty, youthfulskin, beautymusthave, healthyeyes, productreview, beautycommunity, yesstyle, yesstylereview"
glowingskinmadie,863,0.0,5.7K,2.0,2023-02-27,False,"skincare, sunscreen, cruise, cruiseship, vacation, vacationsunscreen, royalcaribbean, poolside, skincaretips, sunscreenviral, glowingskin, makeup, kbeauty, benefitclubpink, skincare101"
glowinthegram,863,10.0,1.5K,12.0,2024-03-06,False,"foryou, satisfying, asmr, cute, fyp, unboxing, whatsinmybag, explore, makeup, beautyhacks, makeuptutorial, beautytips, trends, newmakeup, beauty"
glowithtay,,,,,2022-11-22,False,"fyp, makeup, skincare, haul, winners, gwrm, balmdotcom, swissmiss, glowy, alleyopp, rarebeauty, unboxing, minisopentaclaus, glossier, birthdaybalmdotcom"
glowological,329,3.0,595,3.0,2023-06-05,False,"skincareroutine, glowingskin, selfcare, glowup, skincareaddict, skincare, kbeauty, skincarecommunity, beautyroutine, healthyskin, skincarejunkie, dewyskin, radiantskin, beautyessentials, hydratedskin"
glowwithhima,458,2.0,625,2.0,2024-04-08,False,"loveshackfancy, loveshackfancybeauty, summervibes☀️, summerfragrance, girlvibes, trendin, blackfridaydeals, blackfriday, spanxpartner, blackfridaysale, leggings"
glowyyclover,,,,,2022-03-30,False,"skincare,skincareroutine, glowyyclover, lebasidllacuradellapelle, skincarecommunity, skin, skincareroutinetips, skinsta, koreanskincareproducts, dicsoverunder1k, sincareobsessed, productsthatwork, skincaretiktok, fentybeauty"
grace_forevermore_,473,7.0,619,9.0,2021-09-12,False,"kbeauty, koreanskincare, makeupinspo, glassskin, skincaregoals, makeuplovers, skincare, glowup, skincarelovers, medicube, medicubeambassador, motd, productreviewer, trending, makeup"
greyyychoi,1.4K,2.0,18.1K,12.0,2020-11-12,False,"corporategirlies, corporatelife, adayinmylife, pov, fyp, toronto, rolex, rolexwatch, datejust, watches, luxurywatches, outfitinspo, fitcheck, outfits, businesscasual"
grw.alii_,814,6.0,5.5K,7.0,2023-11-09,False,"makeupideas, grwm, makeup, beauty, lowcontrastmakeup, simplemakeup, naturalmakeup, nomakeupmakeup, glowymakeup, makeuptips"
h.annahyu,442,1.0,607,2.0,2022-12-23,False,"skincare, kbeauty, beauty, wellness, ugccreator, skinhealth, skintok, guthealth, beautytips, beautytok, koreanskincare, selfcare, grwm, fyp, ugc"
hanahdewybae,666,5.0,5.1K,6.0,,False,"sfblogger, matcha, exosome, reedleshot, koreanskincareproducts, browsonfleek, millennial, russianmanicure, beingagirl, tinnedfish, grwm, americanshorthair, sardines, sausalito, chitchat"
hannie.skin,1.5K,5.0,6.4K,6.0,2023-08-15,False,"beautyblogger, skincareroutine, skintok, skincarecommunity, glowingskin, skincareproducts, skincareblogger, asmr, skincaregirlies, xiaohongshu, makeuptutorial, makeup, douyin, trends, fyp"
happy.bluedino,913,2.0,2.5K,2.0,2024-04-11,False,"skincareroutine, glowingskin, skincareaddict, kbeauty, koreanskincare, skincareessentials, glowup, skincaregoals, skincarelover, hydratedskin, kbeautyroutine, hydrationboost, radiantskin, hydratedglow, creatorsearchinsights"
heartz4pitii,2.4K,34.0,157.8K,66.0,2023-03-10,False,"wonyoungism, selfcare, koreanskincare, glassskin, mixsoon, snailmucin, kbeautyaddict, kbeauty, skincareroutine, skintok, kbeautytok, veganskincare, mixsoonbeanessence, veganmucin, hydratedskin"
her.lifestyle.pri,475,5.0,3.2K,8.0,2021-08-14,False,"fyp, nursesoftiktok, nurse, nurselife, nepalitiktok, nursetok, funnynursevideos, viralnurse, nepalinurse, nursehumor, funnyvideos, explore, asmr, itgirl, rnbvibes"
heyitsaliquinn,454,5.0,454,5.0,2021-12-15,False,"makeupfavorites, lipproducts, drugstoremakeup, lipgloss, maybellineliftergloss, nyxmilkygloss, favoritemakeup, makeupproducts, rarebeauty, beautyfavorites, charlottetilbury, bestmakeup, makeuphaul, iliabeauty, makeup"
heyitsclarissaa,669,3.0,2.1K,6.0,2021-04-09,False,"beautytok, sunglasseshack, fashiontiktok, makeuphacks, beautyhack, dezi, fyp, beautyhacks, makeuphack, retokfornature, smallspaceliving, mydolcemoment, amazonmusthaves, amazonhomefinds, apartmentupgrades"
highimdalilah,749,6.0,1.2K,6.0,2023-03-14,False,"fyp, sephora, makeup, rarebeauty, lipcombo, refybeauty, refybrows, fypage, makeupforever, makeuptutorial, yslbeauty, fypシ, starbucks, soldejaniero, coach"
hijabiskinfluencer,422,2.0,2.8K,3.0,2021-12-08,False,"hijabiskinfluencer, koreanskincare, koreansunscreen, kbeauty, skincarereview, sunscreenreview, nowhitecastsunscreen, chemicalsunscreen, neopharm, spf50, skincareinfluencer, sunscreenrecommendation, summeressentials, affordablesunscreen, dermabsunblock"
hola.danielaxoxo,813,4.0,978,4.0,2023-06-28,False,"skincareroutine, skincareproducts, makeuphacks, beautytips, glowyskin, affordablemakeup, holidaymakeup, mediheal, holidaygiftidea, blemishfighter, vitaglowpad, bouncyglow, tonerpads, amazonbestseller, sahm"
honest_recs,724,2.0,745,2.0,2023-11-17,False,"skincare, giftedbydrunkelephant, koreanskincare, vanleeuwenicecream, vanleeuwensweettreat, gifted, beautyofjoseon, trufru, skincarereviews, christmas, cfxdrunkelephant, complimentary, ad, kbeauty, giftedbysdj"
hushhalohue,675,6.0,809,7.0,2025-02-28,False,"aesthetic, asmr, softgirl, makeup, contentcreator, ugc, content, beauty, fyp, fashion, gettingsomewhere, summer, aestheticedits, lipoil, everyday"
ibubblii,1.2K,0.0,1.1K,,2021-10-22,False,"vspartner, vsfashionshow, nycfashionblogger, nycfashionshow, victoriassecret, icons, models, lisarockstar, tyla, cher, tyrabanks, adrianalima, viori, dimsum, shampoobars"
im.gis3lle,426,7.0,828,8.0,2023-02-16,False,"rhodeskin, fyp, rhode, peptideliptreatment, makeuplooks, tiktokban, tiktok, nofilter, nofiltermakeup, ugc, pickyreview, gopicky, pickyxdeardahlia, deardahlia, blush"
im.gis3lle,426,7.0,828,8.0,2023-02-16,False,"rhodeskin, fyp, rhode, peptideliptreatment, makeuplooks, tiktokban, tiktok, nofilter, nofiltermakeup, ugc, pickyreview, gopicky, pickyxdeardahlia, deardahlia, blush"
im.gis3lle,426,7.0,828,8.0,2023-02-16,False,"rhodeskin, fyp, rhode, peptideliptreatment, makeuplooks, tiktokban, tiktok, nofilter, nofiltermakeup, ugc, pickyreview, gopicky, pickyxdeardahlia, deardahlia, blush"
im.gis3lle,426,7.0,828,8.0,2023-02-16,False,"rhodeskin, fyp, rhode, peptideliptreatment, makeuplooks, tiktokban, tiktok, nofilter, nofiltermakeup, ugc, pickyreview, gopicky, pickyxdeardahlia, deardahlia, blush"
imjustagirl368,675,1.0,22.4K,31.0,2021-01-27,False,"sacramento, greenscreen, facebookmarketplace, severanceappletv, whitelotus, whitelotusseason3, sacramentokings, unitedhealthcare, oldnavy, summerfinds, sackings, tahoe, snowboard, kirkwood, matcha"
irisoyeon_,455,2.0,2.3K,3.0,2023-11-04,False,"medicube, ager, glowbooster, glassskin, milkyskin, pearlskin, khloedevice, kardashiandevice, jellyskin, agerboosterpro, agerboosterh, boosterpro, medicubeambassador, skincaredevice, fyp"
ishmadiaries,397,4.0,3.9K,6.0,2023-05-24,False,"beautytok, myrae, glowfromwithin, vitamine, estained, heatsypeasy, estainedheatsypeasy, heatprotectant, heatprotection, hairspray, makeup, kbeauty, makeupaddict, fyp, medicube"
its.mawii,269,0.0,468,1.0,2023-11-11,False,"koreanskincare, kbeauty, skincare, gopicky, pickyreview, centellian24, glassskin, collagenmask, sensitiveskin, collagen, toner, complimentary, thayers, thayersambassador, pickyxcentellian24"
itsbreeeva,494,4.0,858,6.0,2021-02-27,False,"fyp, contentcreator, girlssupportgirls, fashiontiktok, teamwork, stylewithme, christmastiktok, mentalhealth, mentalhealthmatters, creatorfund, cleantok, spendthedaywithme, valentinesday, valentinesfinds, loveseason"
